Year,modelGHG
1994,-28.15448080772531
1995,-25.65078287700955
1996,-24.570570405058223
1997,-22.573136303843704
1998,-13.1833609203118
1999,-9.220900013421657
2000,-9.489477980549868
2001,-6.3503113765150765
2002,-4.923554852696879
2003,-2.263620488136964
2004,-0.9878136804640194
2005,3.6976127475779053
2006,8.70844879676172
2007,6.639889336880914
2008,3.4718333343983474
2009,5.009088462373087
2010,9.356221930041048
2011,12.23550611366484
2012,21.290903649827566
2013,11.570586833503228
2014,14.197144509623815
2015,23.01750835613239
2016,28.318648595583095
2017,30.282256518007923
2018,28.48420284192431
2019,32.0277763048074
2020,34.310184192224746
2021,36.59259207964215
2022,38.87499999968496
2023,41.15740788553078
2024,43.4398157729481
2025,45.722223657249664
2026,48.00463157729252
2027,50.28703946470983
2028,52.5694473521272
2029,54.85185523797303
2030,57.13426315801582
2031,59.416671045433226
2032,61.699078945501725
2033,63.98148683291914
2034,66.26389472033647
2035,68.54630263726344
2036,70.8287105231093
2037,73.11111841052664
2038,75.39352629794402
2039,77.6759342179868
2040,79.95834210540417
2041,82.24074999282153
2042,84.52315787866738
2043,86.80556579871023
2044,89.08797368612753
2045,91.3703815830802
2046,93.65278947049764
2047,95.93519735791496
2048,98.21760527795779
2049,100.50001316380357
2050,102.78242105122098
