timestamp,route_id,demand,weather_condition,fare
2024-01-01 00:00:00,Route_1,134,Sunny,3.17
2024-01-01 00:00:00,Route_2,185,Sunny,3.42
2024-01-01 00:00:00,Route_3,140,Sunny,3.2
2024-01-01 00:00:00,Route_4,109,Sunny,3.04
2024-01-01 00:00:00,Route_5,55,Rainy,3.27
2024-01-01 01:00:00,Route_1,109,Cloudy,3.04
2024-01-01 01:00:00,Route_2,123,Rainy,3.62
2024-01-01 01:00:00,Route_3,178,Sunny,3.39
2024-01-01 01:00:00,Route_4,180,Rainy,3.9
2024-01-01 01:00:00,Route_5,224,Cloudy,3.62
2024-01-01 02:00:00,Route_1,155,Sunny,3.27
2024-01-01 02:00:00,Route_2,148,Sunny,3.24
2024-01-01 02:00:00,Route_3,106,Snowy,3.53
2024-01-01 02:00:00,Route_4,242,Rainy,4.21
2024-01-01 02:00:00,Route_5,71,Sunny,2.85
2024-01-01 03:00:00,Route_1,159,Rainy,3.79
2024-01-01 03:00:00,Route_2,127,Sunny,3.13
2024-01-01 03:00:00,Route_3,115,Cloudy,3.08
2024-01-01 03:00:00,Route_4,106,Cloudy,3.03
2024-01-01 03:00:00,Route_5,146,Cloudy,3.23
2024-01-01 04:00:00,Route_1,229,Cloudy,3.65
2024-01-01 04:00:00,Route_2,200,Cloudy,3.5
2024-01-01 04:00:00,Route_3,223,Sunny,3.62
2024-01-01 04:00:00,Route_4,151,Rainy,3.75
2024-01-01 04:00:00,Route_5,123,Sunny,3.12
2024-01-01 05:00:00,Route_1,97,Rainy,3.48
2024-01-01 05:00:00,Route_2,87,Rainy,3.44
2024-01-01 05:00:00,Route_3,126,Cloudy,3.13
2024-01-01 05:00:00,Route_4,106,Rainy,3.53
2024-01-01 05:00:00,Route_5,169,Rainy,3.84
2024-01-01 06:00:00,Route_1,297,Sunny,3.99
2024-01-01 06:00:00,Route_2,150,Snowy,3.75
2024-01-01 06:00:00,Route_3,90,Sunny,2.95
2024-01-01 06:00:00,Route_4,279,Sunny,3.9
2024-01-01 06:00:00,Route_5,262,Sunny,3.81
2024-01-01 07:00:00,Route_1,274,Rainy,4.37
2024-01-01 07:00:00,Route_2,191,Rainy,3.96
2024-01-01 07:00:00,Route_3,237,Cloudy,3.69
2024-01-01 07:00:00,Route_4,192,Cloudy,3.46
2024-01-01 07:00:00,Route_5,213,Rainy,4.06
2024-01-01 08:00:00,Route_1,134,Rainy,3.67
2024-01-01 08:00:00,Route_2,83,Sunny,2.92
2024-01-01 08:00:00,Route_3,164,Sunny,3.32
2024-01-01 08:00:00,Route_4,226,Cloudy,3.63
2024-01-01 08:00:00,Route_5,147,Sunny,3.23
2024-01-01 09:00:00,Route_1,75,Sunny,2.88
2024-01-01 09:00:00,Route_2,230,Rainy,4.15
2024-01-01 09:00:00,Route_3,121,Sunny,3.1
2024-01-01 09:00:00,Route_4,165,Sunny,3.33
2024-01-01 09:00:00,Route_5,223,Cloudy,3.62
2024-01-01 10:00:00,Route_1,205,Snowy,4.03
2024-01-01 10:00:00,Route_2,142,Cloudy,3.21
2024-01-01 10:00:00,Route_3,63,Sunny,2.81
2024-01-01 10:00:00,Route_4,113,Snowy,3.56
2024-01-01 10:00:00,Route_5,158,Snowy,3.79
2024-01-01 11:00:00,Route_1,106,Snowy,3.53
2024-01-01 11:00:00,Route_2,167,Sunny,3.33
2024-01-01 11:00:00,Route_3,155,Rainy,3.77
2024-01-01 11:00:00,Route_4,88,Sunny,2.94
2024-01-01 11:00:00,Route_5,124,Rainy,3.62
2024-01-01 12:00:00,Route_1,83,Rainy,3.42
2024-01-01 12:00:00,Route_2,122,Sunny,3.11
2024-01-01 12:00:00,Route_3,79,Rainy,3.4
2024-01-01 12:00:00,Route_4,61,Sunny,2.81
2024-01-01 12:00:00,Route_5,124,Sunny,3.12
2024-01-01 13:00:00,Route_1,154,Sunny,3.27
2024-01-01 13:00:00,Route_2,105,Sunny,3.02
2024-01-01 13:00:00,Route_3,50,Sunny,2.75
2024-01-01 13:00:00,Route_4,60,Snowy,3.3
2024-01-01 13:00:00,Route_5,114,Sunny,3.07
2024-01-01 14:00:00,Route_1,80,Cloudy,2.9
2024-01-01 14:00:00,Route_2,104,Sunny,3.02
2024-01-01 14:00:00,Route_3,85,Snowy,3.42
2024-01-01 14:00:00,Route_4,93,Sunny,2.96
2024-01-01 14:00:00,Route_5,57,Sunny,2.79
2024-01-01 15:00:00,Route_1,111,Cloudy,3.06
2024-01-01 15:00:00,Route_2,62,Sunny,2.81
2024-01-01 15:00:00,Route_3,87,Cloudy,2.94
2024-01-01 15:00:00,Route_4,113,Sunny,3.06
2024-01-01 15:00:00,Route_5,109,Cloudy,3.04
2024-01-01 16:00:00,Route_1,100,Sunny,3.0
2024-01-01 16:00:00,Route_2,44,Sunny,2.72
2024-01-01 16:00:00,Route_3,47,Sunny,2.73
2024-01-01 16:00:00,Route_4,72,Sunny,2.86
2024-01-01 16:00:00,Route_5,72,Rainy,3.36
2024-01-01 17:00:00,Route_1,50,Rainy,3.25
2024-01-01 17:00:00,Route_2,70,Snowy,3.35
2024-01-01 17:00:00,Route_3,94,Sunny,2.97
2024-01-01 17:00:00,Route_4,89,Cloudy,2.94
2024-01-01 17:00:00,Route_5,40,Sunny,2.7
2024-01-01 18:00:00,Route_1,26,Rainy,3.13
2024-01-01 18:00:00,Route_2,28,Cloudy,2.64
2024-01-01 18:00:00,Route_3,41,Rainy,3.21
2024-01-01 18:00:00,Route_4,38,Rainy,3.19
2024-01-01 18:00:00,Route_5,57,Cloudy,2.79
2024-01-01 19:00:00,Route_1,35,Rainy,3.17
2024-01-01 19:00:00,Route_2,39,Snowy,3.19
2024-01-01 19:00:00,Route_3,74,Rainy,3.37
2024-01-01 19:00:00,Route_4,89,Sunny,2.94
2024-01-01 19:00:00,Route_5,72,Rainy,3.36
2024-01-01 20:00:00,Route_1,62,Sunny,2.81
2024-01-01 20:00:00,Route_2,104,Rainy,3.52
2024-01-01 20:00:00,Route_3,55,Sunny,2.77
2024-01-01 20:00:00,Route_4,109,Rainy,3.54
2024-01-01 20:00:00,Route_5,86,Sunny,2.93
2024-01-01 21:00:00,Route_1,122,Sunny,3.11
2024-01-01 21:00:00,Route_2,77,Sunny,2.88
2024-01-01 21:00:00,Route_3,100,Sunny,3.0
2024-01-01 21:00:00,Route_4,121,Sunny,3.1
2024-01-01 21:00:00,Route_5,89,Cloudy,2.94
2024-01-01 22:00:00,Route_1,133,Cloudy,3.17
2024-01-01 22:00:00,Route_2,125,Rainy,3.62
2024-01-01 22:00:00,Route_3,124,Sunny,3.12
2024-01-01 22:00:00,Route_4,137,Cloudy,3.19
2024-01-01 22:00:00,Route_5,117,Sunny,3.08
2024-01-01 23:00:00,Route_1,134,Sunny,3.17
2024-01-01 23:00:00,Route_2,122,Sunny,3.11
2024-01-01 23:00:00,Route_3,81,Cloudy,2.91
2024-01-01 23:00:00,Route_4,165,Sunny,3.33
2024-01-01 23:00:00,Route_5,148,Cloudy,3.24
2024-01-02 00:00:00,Route_1,131,Rainy,3.66
2024-01-02 00:00:00,Route_2,145,Sunny,3.23
2024-01-02 00:00:00,Route_3,64,Cloudy,2.82
2024-01-02 00:00:00,Route_4,166,Rainy,3.83
2024-01-02 00:00:00,Route_5,74,Sunny,2.87
2024-01-02 01:00:00,Route_1,119,Sunny,3.09
2024-01-02 01:00:00,Route_2,108,Sunny,3.04
