Bus Number,Starting Point,Ending Point,Via,High Frequency Route,Night Service Route,Low Frequency Route
1,Thiruvottiyur,Thiruvanmiyur,"Adyar, Mylapore, Royapettah, Parry's Corner, Kalmandapam, Tollgate, Rajakadai, Theradi",,,
101,Thiruvottiyur,Poonamallee,"Tollgate, Central, KMC, Mathuravoyal, Karayanchavadi",x,x,
10A,Tollgate,Saidapet West,"Kal mandapam, Parrys, Central R.S, Egmore R.S, Maternity Hospital, DPI, Sterling road, Valluvar Kottam, Panagal park, T.Nagar, Srinivasa Theater, Mettupalayam",,,x
10E,Ekkaduthangal,Broadway,"Central R.S, Egmore R.S, Maternity Hospital, DPI, Sterling road, Valluvar Kottam, Panagal park, T.Nagar, Srinivasa Theater, Mettupalayam, Ashok Nagar, Jaffarkhanpet",,,x
11,Broadway,T.Nagar,"Panagal park, Vani mahal, Thousand Lights, TVS, Central R.S",x,,
114,Red Hills,Vandalur Zoo,"Tambaram, Pallavaram, Guindy, Ashok nagar, Vadapalani, CMBT, Thirumangalam, Anna nagar west, Padi, Thathankuppam, Kolathur, Retteri, Puzhal, Kavangarai, Ayurveda Ashramam",x,,
114 cut,Red Hills,Koyambedu Market,"Puzhal, Nethaji Circle(byepass), Retteri, Thirumangalam",,,
114A,Red Hills,Ayanavaram,"Puzhal, Nethaji Circle(byepass), Retteri, Lucas, ICF",,,
114E,Koyambedu market,New Erumai Vettipalayam,"Red Hills, Puzhal, Nethaji Circle(byepass), Retteri",,,x
114P,Koyambedu Market,Padiyanallur,"Puzhal, Nethaji circle, Retteri, Lucas, Thriumangalam",,,
114S,Koyambedu Market,Seemavaram,"Thirumangalam, Anna nagar west, Kolathur, Retteri, Puzhal, Kavangarai, Ayurveda Ashramam, Red Hills, Padiyanallur, Sholavaram, Karnodai, Pudhupakkam, Kanniyampalayam, Chinnamadiyoor",,,
114T,Padiyanallur,T.Nagar,"Panagal park, Liberty, Power house, Vadapalani Koil, Vadapalani, CMBT, Thirumangalam, Anna nagar west, Kolathur, Retteri, Puzhal, Kavangarai, Ayurveda Ashramam, Red Hills",,,
114xt,Padiyanallur,Tambaram,"Tambaram, Pallavaram, Guindy, Ashok nagar, Vadapalani, CMBT, Thirumangalam, Anna nagar west, Padi, Thathankuppam, Kolathur, Retteri, Puzhal, Kavangarai, Ayurveda Ashramam, Red Hills",,,
118,Tambaram,Maraimalai Nagar I.E,"Irumbuliyur, Perugalathur, Vandalur Gate, Vandalur Zoo,Oorapakkam School, Oorapakkam Tea shop, Guduvanchery, SRM University",,,
118A,HighCourt,Oonamancheri,"LIC, TVS, Saidapet, Guindy, Pallavaram, Tambaram, Vandalur Zoo, Kolapakkam, U.Mandaveli",,,
118K,Tambaram,Kilakaranai Koot road,"Irumbuliyur, Perugalathur, Vandalur Gate, Vandalur Zoo,Oorapakkam School, Oorapakkam Tea shop, Guduvanchery, SRM University, Maraimalai nagar IE, Kilakaranai",,,
118P,Puzhuthivakkam,Guduvanchery,"Aadambakkam, Guindy,Pallavaram, Tambaram, Zoo",,,
119,Thiruvottriyur,Kovalam,"Broadway, Marina Beach, Thiruvanmiyur, Injambakkam",,,
119G,Guindy,Kelambakkam,"Velachery, Navalur",,,
11A,Vallalar Nagar,T.Nagar,"Annasalai, Central R.S, Parry's Corner, Stanley Hospital",x,,
11A xt,M.K.B Nagar East,T.Nagar,"Annasalai, Central R.S, Parry's Corner, Stanley Hospital, Vallalar nagar, Vysarpadi",x,,
11G,High Court,K K Nagar,"MGR Nagar, Ashok Pillar,Pangal Park, Annasalai, Central R.S, Parry's Corner",,,
11H,High Court,Iyyapanthangal,"Virugambakkam, K.K.Nagar, Pondy Bazaar, Anna Salai, Marina Beach",x,,
12,T.Nagar,Vivekananda House,"Teynampet, Alwarpet, Luz, Chennai Citi Centre",,,
120,Broadway,Avadi,"Central R.S, Purasaiwakkam, Sayani, ICF, Padi, Ambattur OT",x,x,
120C,Broadway,Thirumullaivoyal colony,"Central R.S, Purasaiwakkam, Sayani, ICF, Padi, Ambattur OT",,,x
121A,CMBT,Manali,"Madhavaram Milk Colony, Thapal petti, Moolakadai, Retteri, Lucas, Thirumangalam",,,
121B,CMBT,Minjur,"Napalayam, MFL, CPCL, Manali, Madhavaram Milk Colony, Thapal petti, Moolakadai, Retteri, Lucas, Thirumangalam",,,
121C,CMBT,Ennore,"Ernavoor gate, MFL, CPCL, Manali, Madhavaram Milk Colony, Thapal petti, Moolakadai, Retteri, Lucas, Thirumangalam",,,
121D,CMBT,Manali New Town,"MFL, CPCL, Manali, Madhavaram Milk Colony, Thapal petti, Moolakadai, Retteri, Lucas, Thirumangalam",,,
121E,Pattabiram,M.K.B Nagar,"Vyasarpadi, Moolakadai, TVK Nagar, Retteri, Lucas, Ambattur, Avadi",,,x
121G,CMBT,Kaviarasu Kannadasan Nagar,"Moolakadai, Retteri, Lucas, Thirumangalam",,,
127B,Anna Square,Thiruverkadu,"Maduravoyal, KoyambeduMarket, Amijikarai, KMC, Chetpet, EgmoreR.S, Chindhatripet, Triplicane",,,
127H,Anna Square,Villivakkam,"Triplicane, LIC, DPI, Sterling Road, Anna Arch, Thirumangalam, Nadhamuni",,,x
129,Perambur,Okkium Thoraipakkam,"Perungudi, Tidel Park, Saidapet, Gemini, LIC, KMC, SHIVASHANMUGAPURAM",,,
129C,Perambur,Nanganallur,"T.Nagar,Sterling Road,Chetpet,Otteri",,,
12A,T. Nagar,Foreshore Estate,"Pondy bazaar,Alwarpet, Luz, Santhome",,x,
12B,Foreshore Estate,Vadapalani,"Kodambakkam, Pondy Bazaar, Alwarpet, Luz, Santhome",x,x,
12B xt,Foreshore Estate,Koyambedu Market,"CMBT, MMDA Colony, Vadapalani, Kodambakkam, Pondy Bazaar, Alwarpet, Luz, Santhome",x,,
12B xt,Foreshore Estate,Iyyapanthangal,"Porur, Virugambakkam, Vadapalani, Liberty, Pondy Bazaar, Alwarpet, Luz, Santhome",x,,
12C,Saligramam,Mylapore,"Vadapalani, Rangarajapuram, Panagal Park, S.I.E.T, Adyar Gate, Mandaveli",,,
12G,Anna Square,K K Nagar,"MGR Nagar, Ashok Pillar, West Mambalam, Alwarpet, Luz",x,,
13,T.Nagar,Triplicane,"Zambazzar, Express Avenue, Royapettah, Gopalapuram Playground, Sapphire, LFC, Vanimahal",,,
134A,Thiruvottiyur,Mogappair West,,,,
138A,Thiruvottiyur,Periyar Nagar,"Tondiarpet, Mint, Basin Bridge, Vyasarpadi, Moolakadai, TVK Nagar",,,
13A,T.Nagar,Triplicane,"Zambazzar, Express Avenue, Royapettah, Gopalapuram playground, Sapphire, LFC, Vanimahal",,,
13B,T. Nagar,Anna Square,"Triplicane, Zambazzar, Express avenue, Royapettah, Gopalapuram playground, Sapphire, Teynampet, Pondy Bazzar",,,
142,Perambur,Vinayagapuram,,,,
